,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,position
0,David,Ospina,0,0,19,380,3,0.0,75.8,0.0,1,86,7.7,2,0,0,0.2,48,Goalkeeper
1,Petr,Cech,0,0,124,3039,48,0.0,722.4,0.0,7,627,71.9,11,0,1,4.5,53,Goalkeeper
2,Damian Emiliano,Martinez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,Goalkeeper
3,Laurent,Koscielny,2,0,100,2225,32,123.8,692.0,137.0,16,556,95.5,9,0,4,1.5,60,Defender
4,Per,Mertesacker,1,0,16,364,7,3.0,119.6,38.0,2,81,16.1,0,0,0,0.5,47,Defender
5,Gabriel Armando,de Abreu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,Defender
6,HÃ©ctor,BellerÃ­n,2,4,132,3050,44,561.0,554.0,484.0,11,656,160.1,12,0,5,10.3,59,Defender
7,Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,Defender
8,Nacho,Monreal,5,2,130,2241,29,238.7,693.6,305.0,15,604,124.0,10,0,3,8.0,57,Defender
9,Rob,Holding,0,1,27,819,17,39.3,212.2,24.0,1,196,27.5,3,0,3,0.7,44,Defender
10,Shkodran,Mustafi,3,1,109,2272,30,129.9,836.6,202.0,13,610,117.0,10,0,6,4.2,54,Defender
11,Sead,Kolasinac,2,4,108,2146,30,334.9,443.2,404.0,6,510,118.3,10,0,3,6.1,58,Defender
12,Mesut,Ãzil,4,9,112,2161,36,1287.5,640.6,555.0,11,506,248.6,8,0,4,2.1,93,Midfielder
13,Santiago,Cazorla,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,69,Midfielder
14,Aaron,Ramsey,7,10,130,1844,25,478.3,631.2,734.0,12,503,184.2,9,0,0,4.5,68,Midfielder
15,Francis,Coquelin,0,0,7,164,6,16.9,22.2,8.0,0,35,4.8,0,0,0,0.5,43,Midfielder
16,Alex,Iwobi,3,5,89,1827,26,592.9,430.0,635.0,2,426,165.6,9,0,1,1.0,51,Midfielder
17,Mohamed,Elneny,0,1,22,865,12,194.4,138.2,92.0,0,156,42.5,3,1,3,3.0,42,Midfielder
18,Granit,Xhaka,1,8,109,3259,50,822.8,753.4,378.0,3,593,195.3,12,0,10,7.0,51,Midfielder
19,Jack,Wilshere,1,3,46,1185,16,281.8,258.4,169.0,2,236,71.0,4,0,6,0.7,50,Midfielder
20,Danny,Welbeck,5,2,70,1178,21,212.8,309.8,435.0,6,249,96.0,4,0,1,1.2,73,Forward
21,Lucas,PÃ©rez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,74,Forward
22,Alexandre,Lacazette,14,5,138,2197,28,566.0,725.6,1291.0,11,543,258.0,10,0,1,7.6,103,Forward
23,Henrikh,Mkhitaryan,3,9,107,1712,17,727.8,506.8,400.0,9,411,163.8,12,0,2,7.5,77,Midfielder
24,Calum,Chambers,0,0,23,864,14,40.0,227.8,134.0,0,171,40.2,2,0,1,0.4,47,Defender
25,Reiss,Nelson,0,0,5,144,3,29.7,12.0,11.0,0,23,5.3,0,0,0,0.0,47,Midfielder
26,Ainsley,Maitland-Niles,0,0,25,908,16,141.3,168.4,67.0,0,160,37.8,3,0,1,0.1,45,Midfielder
27,Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,Goalkeeper
28,Edward,Nketiah,0,0,3,17,1,1.9,5.0,17.0,0,10,2.3,0,0,0,0.0,50,Forward
29,Mathieu,Debuchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Defender
30,Konstantinos,Mavropanos,0,0,4,194,5,1.3,52.2,2.0,0,41,5.5,1,1,0,0.0,42,Defender
31,Pierre-Emerick,Aubameyang,10,4,87,1056,15,207.1,484.0,580.0,12,354,127.1,4,0,0,14.0,108,Forward
