,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position
0,Mesut,Ãzil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,70,MID,Midfielder
1,Sokratis,Papastathopoulos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,DEF,Defender
2,David,Luiz Moreira Marinho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,55,DEF,Defender
3,Pierre-Emerick,Aubameyang,1,0,7,90,0,15.3,36.6,54.0,0,19,10.6,1,0,1,46.9,120,MID,Midfielder
4,CÃ©dric,Soares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,50,DEF,Defender
5,Alexandre,Lacazette,1,0,7,86,0,12.7,38.6,48.0,1,29,9.9,1,0,0,4.4,85,FWD,Forward
6,Shkodran,Mustafi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,DEF,Defender
7,Bernd,Leno,0,0,7,90,0,0.0,14.0,0.0,1,29,1.4,1,0,0,8.5,50,GK,Goalkeeper
8,Granit,Xhaka,0,0,3,77,0,17.2,6.8,21.0,0,11,4.5,1,0,0,0.9,55,MID,Midfielder
9,Pablo,MarÃ­,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
10,HÃ©ctor,BellerÃ­n,0,0,5,90,0,26.4,9.8,4.0,0,23,4.0,1,0,1,4.7,50,DEF,Defender
11,Emiliano,MartÃ­nez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.6,45,GK,Goalkeeper
12,Calum,Chambers,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
13,Sead,Kolasinac,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,DEF,Defender
14,Ainsley,Maitland-Niles,0,0,6,90,0,2.8,10.2,4.0,0,21,1.7,1,0,0,2.2,50,DEF,Defender
15,Rob,Holding,0,0,6,90,0,1.2,20.6,0.0,0,28,2.2,1,0,0,1.8,45,DEF,Defender
16,Kieran,Tierney,0,0,6,90,0,2.5,12.8,2.0,0,25,1.7,1,0,0,12.2,55,DEF,Defender
17,Nicolas,PÃ©pÃ©,0,0,1,15,0,15.3,2.0,6.0,0,3,2.3,0,0,0,1.9,79,MID,Midfielder
18,Lucas,Torreira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,MID,Midfielder
19,Joseph,Willock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
20,Reiss,Nelson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID,Midfielder
21,Edward,Nketiah,0,0,1,3,0,0.0,0.0,0.0,0,3,0.0,0,0,0,1.6,60,FWD,Forward
22,Emile,Smith Rowe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,Midfielder
23,Bukayo,Saka,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,7.0,55,MID,Midfielder
24,Matteo,Guendouzi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,MID,Midfielder
25,Gabriel Teodoro,Martinelli Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,Midfielder
26,William,Saliba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.0,45,DEF,Defender
27,Willian,Borges Da Silva,0,3,14,74,0,38.0,38.6,38.0,2,35,11.5,1,0,0,12.6,81,MID,Midfielder
28,Gabriel,MagalhÃ£es,1,0,15,90,0,0.3,51.8,33.0,3,37,8.5,1,0,0,6.3,50,DEF,Defender
29,Daniel,Ceballos FernÃ¡ndez,0,0,1,12,0,1.3,5.2,4.0,0,6,1.1,0,0,0,1.9,50,MID,Midfielder
30,Mohamed Naser,El Sayed Elneny,0,0,3,90,0,3.8,10.6,18.0,0,15,3.2,1,0,0,0.8,45,MID,Midfielder
31,Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK,Goalkeeper
32,Tom,Heaton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,Goalkeeper
33,Ahmed,El Mohamady,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,45,DEF,Defender
34,Henri,Lansbury,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,MID,Midfielder
35,Neil,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45,DEF,Defender
36,Jed,Steer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.3,40,GK,Goalkeeper
37,Conor,Hourihane,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60,MID,Midfielder
38,JosÃ© Ignacio,Peleteiro Romallo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60,MID,Midfielder
39,Ãrjan,Nyland,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,16.8,40,GK,Goalkeeper
40,Bjorn,Engels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
41,Jack,Grealish,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,10.6,70,MID,Midfielder
42,John,McGinn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,55,MID,Midfielder
43,Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,Defender
44,Mahmoud Ahmed,Ibrahim Hassan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,55,MID,Midfielder
45,Tyrone,Mings,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,50,DEF,Defender
46,Matt,Targett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,45,DEF,Defender
47,James,Bree,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
48,Marvelous,Nakamba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,MID,Midfielder
49,Anwar,El Ghazi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,60,MID,Midfielder
50,Ezri,Konsa Ngoyo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
51,FrÃ©dÃ©ric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
